,x,y,problem_type,seed,rank,response,Misconception_Label,Misc_explanation,Misc_group
1,-4.7624,-2.7135,Missing addend or subtrahend,xec091daddd2f473e,3,5-Feb,5,NA,NA
2,1.0665,-8.5371,Missing addend or subtrahend,x5e05459b716823dc,13,2-Apr,8,NA,NA
3,-9.0721,0.49917,Missing addend or subtrahend,x0723ebff11fe9f1e,5,4-Mar,5,NA,NA
4,1.1971,7.7208,Missing addend or subtrahend,x89940fa3efa9d021,7,1-Jan,5,NA,NA
5,-10.025,-8.8938,Missing addend or subtrahend,x9eb10145c9a28389,13,6-Jan,10,NA,NA
6,4.055,-2.2796,Missing addend or subtrahend,xec091daddd2f473e,2,10-Apr,8,NA,NA
7,-11.153,10.036,Missing addend or subtrahend,xcda896bb81fe2ff6,19,2-Jan,3,NA,NA
8,1.1485,-8.586,Missing addend or subtrahend,x5e05459b716823dc,1,3-Apr,8,NA,NA
9,4.2029,-1.9176,Missing addend or subtrahend,x0723ebff11fe9f1e,15,3-Sep,8,NA,NA
10,1.2361,7.6145,Missing addend or subtrahend,xcfe60746de3b7302,3,4-Mar,10,NA,NA
11,8.0654,0.22745,Missing addend or subtrahend,xec091daddd2f473e,16,2,3,NA,NA
12,2.9431,0.84418,Missing addend or subtrahend,x754b256f7842b551,12,3-Jan,11,NA,NA
13,3.6972,13.966,Missing addend or subtrahend,x9eb10145c9a28389,7,4-Jul,2,NA,NA
14,-0.090606,9.3939,Missing addend or subtrahend,x0723ebff11fe9f1e,2,19/12,5,Incorrect balance of eqs to solve for x,operation_mistake
15,0.054427,-3.2339,Missing addend or subtrahend,xec091daddd2f473e,15,May-50,3,NA,NA
16,5.8871,-2.6635,Missing addend or subtrahend,xcfe60746de3b7302,10,4-Jul,2,NA,NA
17,-3.6734,6.2354,Missing addend or subtrahend,x754b256f7842b551,19,4-May,3,NA,NA
18,12.707,-1.939,Missing addend or subtrahend,xcfe60746de3b7302,1,6-Jun,6,NA,NA
19,2.7555,4.846,Missing addend or subtrahend,x9eb10145c9a28389,2,4-Jun,5,NA,NA
20,6.1503,13.595,Missing addend or subtrahend,x0723ebff11fe9f1e,4,4-Sep,5,NA,NA
21,-5.9335,-0.5985,Missing addend or subtrahend,x5e05459b716823dc,2,6-Aug,5,NA,NA
22,9.0519,1.1239,Missing addend or subtrahend,xcda896bb81fe2ff6,3,6-Feb,11,NA,NA
23,-10.582,-7.7494,Missing addend or subtrahend,xec091daddd2f473e,misc,misc,misc,NA,NA
24,8.2826,-1.7064,Missing addend or subtrahend,xcda896bb81fe2ff6,2,3-Jan,11,NA,NA
25,-3.1784,-1.1745,Missing addend or subtrahend,xec091daddd2f473e,5,5-Jan,11,NA,NA
26,-11.19,10.079,Missing addend or subtrahend,x5e05459b716823dc,9,2-Jan,11,NA,NA
27,-10.453,-10.867,Missing addend or subtrahend,x89940fa3efa9d021,1,12-Jan,3,NA,NA
28,4.0008,-1.7584,Missing addend or subtrahend,xcfe60746de3b7302,16,-0.375,5,NA,NA
29,7.757,7.6243,Missing addend or subtrahend,x754b256f7842b551,7,12-Sep,2,NA,NA
30,-0.75341,12.114,Missing addend or subtrahend,x754b256f7842b551,6,4-Feb,10,NA,NA
31,-4.2254,-2.6633,Missing addend or subtrahend,xcda896bb81fe2ff6,7,14/6,3,Typo,nouse
32,-4.2254,-2.6633,Missing addend or subtrahend,xcda896bb81fe2ff6,7,14/6,3,Typo,nouse
33,-4.2254,-2.6633,Missing addend or subtrahend,xcda896bb81fe2ff6,7,14/6,3,Typo,nouse
34,2.3045,-1.1235,Missing addend or subtrahend,x89940fa3efa9d021,2,12-May,5,NA,NA
35,-1.5582,5.1901,Missing addend or subtrahend,x07bf278a425a0ade,16,8-Mar,2,NA,NA
36,-4.479,-8.7452,Missing addend or subtrahend,x754b256f7842b551,9,12-Apr,5,NA,NA
37,5.508,0.44239,Missing addend or subtrahend,x9eb10145c9a28389,1,9-Jun,5,NA,NA
38,-10.324,-8.0543,Missing addend or subtrahend,x89940fa3efa9d021,17,-0.083333333,3,NA,NA
39,3.0391,-0.61497,Missing addend or subtrahend,x5e05459b716823dc,6,6-Jan,3,NA,NA
40,3.5654,9.0269,Missing addend or subtrahend,xcda896bb81fe2ff6,15,3-Feb,3,NA,NA
41,1.8841,-3.0804,Missing addend or subtrahend,x0723ebff11fe9f1e,10,12-Jul,10,NA,NA
42,4.5018,-10.349,Missing addend or subtrahend,x0723ebff11fe9f1e,misc,misc,misc,NA,NA
43,0.11888,-9.4032,Missing addend or subtrahend,xcfe60746de3b7302,12,1,11,NA,NA
44,-2.3265,-3.9485,Missing addend or subtrahend,x07bf278a425a0ade,2,24/16,3,Typo,nouse
45,-2.3265,-3.9485,Missing addend or subtrahend,x07bf278a425a0ade,2,24/16,3,Typo,nouse
46,9.9616,-0.72492,Missing addend or subtrahend,xec091daddd2f473e,10,10-Jun,10,NA,NA
47,-7.2108,7.6999,Missing addend or subtrahend,xcfe60746de3b7302,15,4-May,5,NA,NA
48,3.8917,-3.7372,Missing addend or subtrahend,x89940fa3efa9d021,12,3-Jan,3,NA,NA
49,-6.0935,2.6408,Missing addend or subtrahend,xcda896bb81fe2ff6,5,6-Apr,3,NA,NA
50,6.3404,-4.404,Missing addend or subtrahend,x5e05459b716823dc,misc,misc,misc,NA,NA
51,-7.0416,9.1383,Missing addend or subtrahend,xcda896bb81fe2ff6,1,17/6,5,Incorrect balance of eqs to solve for x,operation_mistake
52,-7.0416,9.1383,Missing addend or subtrahend,xcda896bb81fe2ff6,1,17/6,5,Incorrect balance of eqs to solve for x,operation_mistake
53,4.9319,-4.5795,Missing addend or subtrahend,x0723ebff11fe9f1e,14,9,8,NA,NA
54,-5.3083,-0.5648,Missing addend or subtrahend,x5e05459b716823dc,11,2,3,NA,NA
55,3.2281,4.9896,Missing addend or subtrahend,xcda896bb81fe2ff6,9,5-Apr,3,NA,NA
56,10.778,-6.9093,Missing addend or subtrahend,x07bf278a425a0ade,15,1,11,NA,NA
57,-8.0209,-5.5798,Missing addend or subtrahend,x0723ebff11fe9f1e,12,1,3,NA,NA
58,-0.057149,-8.2464,Missing addend or subtrahend,xec091daddd2f473e,13,5,11,NA,NA
59,6.2983,5.3847,Missing addend or subtrahend,xec091daddd2f473e,8,10-Aug,5,NA,NA
60,-8.7582,-3.6049,Missing addend or subtrahend,xcda896bb81fe2ff6,6,6-Aug,3,NA,NA
61,-1.7774,2.5566,Missing addend or subtrahend,x7f6c85dcbe576f5b,15,5-Feb,11,NA,NA
62,5.7156,5.4239,Missing addend or subtrahend,x9eb10145c9a28389,5,4-Mar,5,NA,NA
63,1.2679,-3.1162,Missing addend or subtrahend,x7f6c85dcbe576f5b,7,10-Jun,5,NA,NA
64,4.9491,10.075,Missing addend or subtrahend,x89940fa3efa9d021,14,12-Jun,3,NA,NA
65,3.3181,-7.7559,Missing addend or subtrahend,x754b256f7842b551,11,12-Mar,3,NA,NA
66,2.2354,5.7678,Missing addend or subtrahend,x89940fa3efa9d021,11,4-May,5,NA,NA
67,9.896,-8.0515,Missing addend or subtrahend,x07bf278a425a0ade,12,16-Aug,10,NA,NA
68,-11.033,0.55552,Missing addend or subtrahend,x89940fa3efa9d021,9,6-May,NA,NA,NA
69,6.5681,12.671,Missing addend or subtrahend,x07bf278a425a0ade,4,17/16,NA,NA,NA
70,7.7118,1.0821,Missing addend or subtrahend,x5e05459b716823dc,3,6-Mar,NA,NA,NA
71,-1.5946,-10.112,Missing addend or subtrahend,x89940fa3efa9d021,13,12-Jul,NA,NA,NA
72,6.0213,11.476,Missing addend or subtrahend,x754b256f7842b551,4,2-Jan,NA,NA,NA
73,8.5862,3.3412,Missing addend or subtrahend,x7f6c85dcbe576f5b,1,5-May,NA,NA,NA
74,1.0153,-2.3435,Missing addend or subtrahend,x0723ebff11fe9f1e,13,6-Jan,NA,NA,NA
75,-10.61,1.7654,Missing addend or subtrahend,x07bf278a425a0ade,misc,misc,NA,NA,NA
76,-11.55,-3.4175,Missing addend or subtrahend,x7f6c85dcbe576f5b,3,2-Jan,NA,NA,NA
77,2.4913,5.6757,Missing addend or subtrahend,x754b256f7842b551,3,4-Mar,NA,NA,NA
78,-9.742,2.0065,Missing addend or subtrahend,xec091daddd2f473e,9,10-Jul,NA,NA,NA
79,6.2909,-5.7529,Missing addend or subtrahend,x89940fa3efa9d021,15,1,NA,NA,NA
80,-3.4436,-3.349,Missing addend or subtrahend,xcda896bb81fe2ff6,10,6-Jul,NA,NA,NA
81,9.0053,-1.649,Missing addend or subtrahend,xcda896bb81fe2ff6,14,3-Jul,NA,NA,NA
82,-11.632,-8.5103,Missing addend or subtrahend,xcfe60746de3b7302,9,4-Jan,NA,NA,NA
83,-4.2371,1.6904,Missing addend or subtrahend,x7f6c85dcbe576f5b,11,5,NA,NA,NA
84,-0.34572,-10.106,Missing addend or subtrahend,x89940fa3efa9d021,16,12-Sep,NA,NA,NA
85,8.7488,-5.1565,Missing addend or subtrahend,xec091daddd2f473e,4,10-Feb,NA,NA,NA
86,1.1214,-1.983,Missing addend or subtrahend,x07bf278a425a0ade,13,16-May,NA,NA,NA
87,-5.373,8.5422,Missing addend or subtrahend,x89940fa3efa9d021,5,15/12,10,incorrect reduction of fraction,frac_oper
88,8.6768,8.2425,Missing addend or subtrahend,x9eb10145c9a28389,11,12-Aug,NA,NA,NA
89,-10.236,-4.5603,Missing addend or subtrahend,xcfe60746de3b7302,4,8-Nov,NA,NA,NA
90,0.52963,-6.9444,Missing addend or subtrahend,x7f6c85dcbe576f5b,9,1,NA,NA,NA
91,4.4971,0.50237,Missing addend or subtrahend,x0723ebff11fe9f1e,11,12-Feb,NA,NA,NA
92,-11.496,-9.5574,Missing addend or subtrahend,x07bf278a425a0ade,20,2,NA,NA,NA
93,-1.9739,-1.9,Missing addend or subtrahend,xcda896bb81fe2ff6,18,6-Jan,NA,NA,NA
94,5.8306,12.504,Missing addend or subtrahend,x7f6c85dcbe576f5b,2,10-May,NA,NA,NA
95,-0.82727,-8.9417,Missing addend or subtrahend,x9eb10145c9a28389,9,4-Feb,NA,NA,NA
96,-2.8543,-2.8199,Missing addend or subtrahend,xcfe60746de3b7302,14,8-Jan,NA,NA,NA
97,-10.09,-3.213,Missing addend or subtrahend,x0723ebff11fe9f1e,7,12-Aug,NA,NA,NA
98,10.616,5.7725,Missing addend or subtrahend,x754b256f7842b551,13,12-Jun,NA,NA,NA
99,-8.9329,-4.8521,Missing addend or subtrahend,x7f6c85dcbe576f5b,14,5-Jan,NA,NA,NA
100,12.46,4.7459,Missing addend or subtrahend,x7f6c85dcbe576f5b,13,10-Jan,NA,NA,NA
101,0.40108,-6.991,Missing addend or subtrahend,x89940fa3efa9d021,19,18/12,NA,NA,NA
102,3.7792,-4.1878,Missing addend or subtrahend,x754b256f7842b551,misc,misc,NA,NA,NA
103,8.9597,-5.3842,Missing addend or subtrahend,x754b256f7842b551,1,13/12,5,Incorrect balance of eqs to solve for x,operation_mistake
104,8.9597,-5.3842,Missing addend or subtrahend,x754b256f7842b551,1,13/12,5,Incorrect balance of eqs to solve for x,operation_mistake
105,8.9597,-5.3842,Missing addend or subtrahend,x754b256f7842b551,1,13/12,5,Incorrect balance of eqs to solve for x,operation_mistake
106,11.917,-5.4278,Missing addend or subtrahend,x5e05459b716823dc,5,6-Apr,NA,NA,NA
107,6.0832,8.9065,Missing addend or subtrahend,x07bf278a425a0ade,11,47/16,NA,NA,NA
108,-0.33322,-2.0131,Missing addend or subtrahend,xcda896bb81fe2ff6,17,6-May,NA,NA,NA
109,-2.1048,6.5669,Missing addend or subtrahend,xec091daddd2f473e,7,15-Apr,NA,NA,NA
110,-8.4441,8.2028,Missing addend or subtrahend,xcda896bb81fe2ff6,4,3-Apr,NA,NA,NA
111,-1.9766,6.1121,Missing addend or subtrahend,x754b256f7842b551,5,12-Feb,NA,NA,NA
112,5.9524,4.3445,Missing addend or subtrahend,x89940fa3efa9d021,18,2-Jan,NA,NA,NA
113,-14.114,-4.1688,Missing addend or subtrahend,xec091daddd2f473e,14,5-Mar,NA,NA,NA
114,-5.8627,2.61,Missing addend or subtrahend,x89940fa3efa9d021,8,12-Aug,NA,NA,NA
115,6.4888,3.0168,Missing addend or subtrahend,xcfe60746de3b7302,13,4-Feb,NA,NA,NA
116,-10.504,-0.28892,Missing addend or subtrahend,xcda896bb81fe2ff6,20,6-Nov,NA,NA,NA
117,1.4618,5.4095,Missing addend or subtrahend,x9eb10145c9a28389,12,3-Jun,NA,NA,NA
118,-5.1732,3.15,Missing addend or subtrahend,x0723ebff11fe9f1e,6,12-Apr,NA,NA,NA
119,10.887,-4.905,Missing addend or subtrahend,x7f6c85dcbe576f5b,12,10-Feb,NA,NA,NA
120,5.0889,-3.036,Missing addend or subtrahend,xec091daddd2f473e,17,2-Mar,NA,NA,NA
121,-0.14588,3.315,Missing addend or subtrahend,xcda896bb81fe2ff6,13,2,NA,NA,NA
122,-0.97418,10.456,Missing addend or subtrahend,x754b256f7842b551,17,1,NA,NA,NA
123,4.9147,-4.3573,Missing addend or subtrahend,xcda896bb81fe2ff6,16,2-Apr,NA,NA,NA
124,-0.78973,9.6845,Missing addend or subtrahend,x7f6c85dcbe576f5b,16,2-Mar,NA,NA,NA
125,-4.7807,-10.579,Missing addend or subtrahend,x0723ebff11fe9f1e,9,12-May,NA,NA,NA
126,4.9193,11.216,Missing addend or subtrahend,x9eb10145c9a28389,6,12-Nov,NA,NA,NA
127,3.5711,-6.414,Missing addend or subtrahend,x89940fa3efa9d021,misc,misc,NA,NA,NA
128,-11.294,-0.26216,Missing addend or subtrahend,x754b256f7842b551,20,12-Jul,NA,NA,NA
129,4.3522,-6.7608,Missing addend or subtrahend,x07bf278a425a0ade,3,16-Feb,NA,NA,NA
130,6.0954,0.23415,Missing addend or subtrahend,xcda896bb81fe2ff6,12,6-Mar,NA,NA,NA
131,1.013,-13.999,Missing addend or subtrahend,x07bf278a425a0ade,8,2-Mar,NA,NA,NA
132,-4.5174,-9.4451,Missing addend or subtrahend,x7f6c85dcbe576f5b,10,10-Jul,NA,NA,NA
133,8.2173,5.7624,Missing addend or subtrahend,x07bf278a425a0ade,6,16-Jul,NA,NA,NA
134,-11.899,-9.5733,Missing addend or subtrahend,x7f6c85dcbe576f5b,4,2-May,NA,NA,NA
135,15.16,-3.8973,Missing addend or subtrahend,x07bf278a425a0ade,14,16-Nov,NA,NA,NA
136,-0.33517,-8.1356,Missing addend or subtrahend,x07bf278a425a0ade,17,2-Jan,NA,NA,NA
137,-5.4937,2.7684,Missing addend or subtrahend,x9eb10145c9a28389,10,2-Jan,NA,NA,NA
138,0.89245,-2.7602,Missing addend or subtrahend,x0723ebff11fe9f1e,3,12-Sep,NA,NA,NA
139,-1.4128,-7.4299,Missing addend or subtrahend,x89940fa3efa9d021,3,7-May,NA,NA,NA
140,-6.4215,1.0515,Missing addend or subtrahend,x7f6c85dcbe576f5b,5,10-Nov,NA,NA,NA
141,6.9062,12.674,Missing addend or subtrahend,x89940fa3efa9d021,20,3-Apr,NA,NA,NA
142,-0.38112,-3.7111,Missing addend or subtrahend,xcfe60746de3b7302,7,8-Jul,NA,NA,NA
143,-5.7967,-8.3317,Missing addend or subtrahend,x7f6c85dcbe576f5b,6,5-Mar,NA,NA,NA
144,-4.5091,-7.4947,Missing addend or subtrahend,x5e05459b716823dc,14,12-May,NA,NA,NA
145,-0.28453,2.5629,Missing addend or subtrahend,x07bf278a425a0ade,18,2-Feb,NA,NA,NA
146,-11.297,-11.165,Missing addend or subtrahend,xec091daddd2f473e,12,-0.1,NA,NA,NA
147,-3.0038,-7.0239,Missing addend or subtrahend,x9eb10145c9a28389,4,12-Apr,NA,NA,NA
148,0.92638,9.9575,Missing addend or subtrahend,x9eb10145c9a28389,14,12-Feb,NA,NA,NA
149,-9.7825,-8.2026,Missing addend or subtrahend,xec091daddd2f473e,6,5-Apr,NA,NA,NA
150,2.7268,2.2669,Missing addend or subtrahend,xec091daddd2f473e,11,10-Mar,NA,NA,NA
151,10.432,-8.3552,Missing addend or subtrahend,x754b256f7842b551,15,12-Aug,NA,NA,NA
152,1.4602,-10.982,Missing addend or subtrahend,x07bf278a425a0ade,10,16/16,NA,NA,NA
153,-5.5329,1.6829,Missing addend or subtrahend,x5e05459b716823dc,12,4,NA,NA,NA
154,6.1206,-3.6299,Missing addend or subtrahend,xcfe60746de3b7302,misc,misc,NA,NA,NA
155,-5.6733,-10.265,Missing addend or subtrahend,x754b256f7842b551,18,2,NA,NA,NA
156,9.4688,-8.1871,Missing addend or subtrahend,xcfe60746de3b7302,8,8-Feb,NA,NA,NA
157,4.8755,-3.3202,Missing addend or subtrahend,x89940fa3efa9d021,10,4-Jan,NA,NA,NA
158,-3.2116,-2.59,Missing addend or subtrahend,xec091daddd2f473e,1,10-Jan,NA,NA,NA
159,-7.2562,-1.6808,Missing addend or subtrahend,x07bf278a425a0ade,9,8-Jan,NA,NA,NA
160,-0.98756,9.2226,Missing addend or subtrahend,x89940fa3efa9d021,4,12-Oct,NA,NA,NA
161,0.22674,-8.1457,Missing addend or subtrahend,x7f6c85dcbe576f5b,misc,misc,NA,NA,NA
162,-3.7029,6.2461,Missing addend or subtrahend,x07bf278a425a0ade,5,8-Feb,NA,NA,NA
163,3.4986,9.0631,Missing addend or subtrahend,xcfe60746de3b7302,6,8-Apr,NA,NA,NA
164,10.523,-4.3181,Missing addend or subtrahend,x07bf278a425a0ade,19,31/16,NA,NA,NA
165,5.6263,12.329,Missing addend or subtrahend,xcfe60746de3b7302,5,4-Jun,NA,NA,NA
166,-0.73363,12.062,Missing addend or subtrahend,x9eb10145c9a28389,3,12-Jun,NA,NA,NA
167,-2.0635,-2.8371,Missing addend or subtrahend,xcfe60746de3b7302,11,8-May,NA,NA,NA
168,-1.9571,11.485,Missing addend or subtrahend,x89940fa3efa9d021,6,12-Nov,NA,NA,NA
169,-8.1351,-4.6653,Missing addend or subtrahend,x5e05459b716823dc,10,1,NA,NA,NA
170,-6.0459,10.376,Missing addend or subtrahend,x0723ebff11fe9f1e,1,9-Sep,NA,NA,NA
171,-6.8969,8.0988,Missing addend or subtrahend,xcfe60746de3b7302,2,8-Jun,NA,NA,NA
172,6.7514,-0.8632,Missing addend or subtrahend,x9eb10145c9a28389,8,3-Jan,NA,NA,NA
173,-0.0682,1.3205,Missing addend or subtrahend,xcda896bb81fe2ff6,11,6-Dec,NA,NA,NA
174,0.47875,-9.5179,Missing addend or subtrahend,x0723ebff11fe9f1e,16,11-Mar,NA,NA,NA
175,2.5052,6.4602,Missing addend or subtrahend,xcda896bb81fe2ff6,8,1-Apr,NA,NA,NA
176,2.4256,-12.852,Missing addend or subtrahend,x754b256f7842b551,10,4-Jan,NA,NA,NA
177,-9.6916,0.1399,Missing addend or subtrahend,x07bf278a425a0ade,1,25/16,5,Incorrect balance of eqs to solve for x,operation_mistake
178,-9.6916,0.1399,Missing addend or subtrahend,x07bf278a425a0ade,1,25/16,5,Incorrect balance of eqs to solve for x,operation_mistake
179,4.5405,-10.294,Missing addend or subtrahend,x754b256f7842b551,2,1-Feb,NA,NA,NA
180,-12.852,-10.067,Missing addend or subtrahend,xcfe60746de3b7302,17,6,NA,NA,NA
181,7.2894,7.2096,Missing addend or subtrahend,x5e05459b716823dc,7,3-Feb,NA,NA,NA
182,-2.4278,12.917,Missing addend or subtrahend,x5e05459b716823dc,4,4-Apr,NA,NA,NA
183,6.8896,-6.4924,Missing addend or subtrahend,x07bf278a425a0ade,7,23,NA,NA,NA
184,-9.2687,-5.7548,Missing addend or subtrahend,xcda896bb81fe2ff6,misc,misc,NA,NA,NA
185,-6.6753,-7.3429,Missing addend or subtrahend,x754b256f7842b551,16,6-Jan,NA,NA,NA
186,10.511,4.1783,Missing addend or subtrahend,x754b256f7842b551,8,3-Feb,NA,NA,NA
187,-2.3396,9.7982,Missing addend or subtrahend,x754b256f7842b551,14,12-Jan,NA,NA,NA
188,-1.643,5.6705,Missing addend or subtrahend,x5e05459b716823dc,8,16/12,NA,NA,NA
189,-3.8528,-1.6586,Missing addend or subtrahend,x9eb10145c9a28389,misc,misc,NA,NA,NA
190,2.2614,4.299,Missing addend or subtrahend,x7f6c85dcbe576f5b,8,10-Apr,NA,NA,NA
191,12.514,3.386,Missing addend or subtrahend,x9eb10145c9a28389,15,3-Feb,NA,NA,NA
192,11.104,-5.658,Missing addend or subtrahend,x0723ebff11fe9f1e,8,3-Jan,NA,NA,NA
